＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
160090018,FUT_225_250911,,202509,,42610,42599,42610.17,,0.5918,22,日経225
160120018,FUT_225_251211,,202512,,42410,42399,42610.17,,0.8509,113,日経225
161030018,FUT_225_260312,,202603,,42410,42393,42610.17,,0.7982,204,日経225
161060018,FUT_225_260611,,202606,,42180,42156,42610.17,,0.7982,295,日経225
161090018,FUT_225_260910,,202609,,42230,42164,42610.17,,0.7982,386,日経225
161120018,FUT_225_261210,,202612,,42020,41956,42610.17,,0.7982,477,日経225
162060018,FUT_225_270610,,202706,,41860,41725,42610.17,,0.7982,659,日経225
162120018,FUT_225_271209,,202712,,41730,41529,42610.17,,0.7982,841,日経225
163060018,FUT_225_280608,,202806,,41580,41303,42610.17,,0.7982,1023,日経225
163120018,FUT_225_281207,,202812,,41530,41111,42610.17,,0.7982,1205,日経225
164060018,FUT_225_290607,,202906,,41410,40889,42610.17,,0.7982,1387,日経225
164120018,FUT_225_291213,,202912,,41250,40707,42610.17,,0.7982,1576,日経225
165060018,FUT_225_300613,,203006,,41130,40490,42610.17,,0.7982,1758,日経225
165120018,FUT_225_301212,,203012,,41220,40305,42610.17,,0.7982,1940,日経225
166060018,FUT_225_310612,,203106,,40950,40092,42610.17,,0.7982,2122,日経225
166120018,FUT_225_311211,,203112,,40900,39912,42610.17,,0.7982,2304,日経225
167060018,FUT_225_320610,,203206,,40820,39703,42610.17,,0.7982,2486,日経225
167120018,FUT_225_321209,,203212,,41070,39527,42610.17,,0.7982,2668,日経225
168060018,FUT_225_330609,,203306,,41030,39322,42610.17,,0.7982,2850,日経225
160090019,FUT_225M_250911,,202509,,42610,42599,42610.17,,0.5918,22,日経225
160100019,FUT_225M_251009,,202510,,42345,42322,42610.17,,0.5918,50,日経225
160110019,FUT_225M_251113,,202511,,42390,42364,42610.17,,0.7727,85,日経225
160120019,FUT_225M_251211,,202512,,42410,42399,42610.17,,0.8509,113,日経225
161010019,FUT_225M_260108,,202601,,42360,42372,42610.17,,0.8509,141,日経225
161030019,FUT_225M_260312,,202603,,42410,42393,42610.17,,0.7982,204,日経225
161060019,FUT_225M_260611,,202606,,42180,42156,42610.17,,0.7982,295,日経225
161090019,FUT_225M_260910,,202609,,42230,42164,42610.17,,0.7982,386,日経225
161120019,FUT_225M_261210,,202612,,42020,41956,42610.17,,0.7982,477,日経225
162060019,FUT_225M_270610,,202706,,41860,41725,42610.17,,0.7982,659,日経225
162120019,FUT_225M_271209,,202712,,41730,41529,42610.17,,0.7982,841,日経225
163060019,FUT_225M_280608,,202806,,41580,41303,42610.17,,0.7982,1023,日経225
